season,team,conference,statName,statValue
2025,Northern Illinois,Mid-American,puntReturns,10
2025,Northern Illinois,Mid-American,puntReturnsOpponent,19
2025,Northern Illinois,Mid-American,puntReturnTDs,0
2025,Northern Illinois,Mid-American,puntReturnTDsOpponent,0
2025,Northern Illinois,Mid-American,puntReturnYards,91
2025,Northern Illinois,Mid-American,puntReturnYardsOpponent,146
2025,Northern Illinois,Mid-American,rushingAttempts,497
2025,Northern Illinois,Mid-American,rushingAttemptsOpponent,476
2025,Northern Illinois,Mid-American,rushingTDs,16
2025,Northern Illinois,Mid-American,rushingTDsOpponent,21
2025,Northern Illinois,Mid-American,rushingYards,2227
2025,Northern Illinois,Mid-American,rushingYardsOpponent,2205
2025,Northern Illinois,Mid-American,sacks,14
2025,Northern Illinois,Mid-American,sacksOpponent,19
2025,Northern Illinois,Mid-American,tacklesForLoss,40
2025,Northern Illinois,Mid-American,tacklesForLossOpponent,61
2025,Northern Illinois,Mid-American,thirdDownConversions,55
2025,Northern Illinois,Mid-American,thirdDownConversionsOpponent,70
2025,Northern Illinois,Mid-American,thirdDowns,173
2025,Northern Illinois,Mid-American,thirdDownsOpponent,163
2025,Northern Illinois,Mid-American,totalYards,3413
2025,Northern Illinois,Mid-American,totalYardsOpponent,4292
2025,Northern Illinois,Mid-American,turnovers,11
2025,Northern Illinois,Mid-American,turnoversOpponent,13
2025,North Texas,American Athletic,firstDowns,357
2025,North Texas,American Athletic,firstDownsOpponent,283
2025,North Texas,American Athletic,fourthDownConversions,25
2025,North Texas,American Athletic,fourthDownConversionsOpponent,23
2025,North Texas,American Athletic,fourthDowns,36
2025,North Texas,American Athletic,fourthDownsOpponent,37
2025,North Texas,American Athletic,fumblesLost,10
2025,North Texas,American Athletic,fumblesLostOpponent,13
2025,North Texas,American Athletic,fumblesRecovered,13
2025,North Texas,American Athletic,fumblesRecoveredOpponent,10
2025,North Texas,American Athletic,games,14
2025,North Texas,American Athletic,interceptions,9
2025,North Texas,American Athletic,interceptionsOpponent,15
2025,North Texas,American Athletic,interceptionTDs,0
2025,North Texas,American Athletic,interceptionTDsOpponent,1
2025,North Texas,American Athletic,interceptionYards,232
2025,North Texas,American Athletic,interceptionYardsOpponent,142
2025,North Texas,American Athletic,kickReturns,25
2025,North Texas,American Athletic,kickReturnsOpponent,45
2025,North Texas,American Athletic,kickReturnTDs,0
2025,North Texas,American Athletic,kickReturnTDsOpponent,0
2025,North Texas,American Athletic,kickReturnYards,541
2025,North Texas,American Athletic,kickReturnYardsOpponent,804
2025,North Texas,American Athletic,netPassingYards,4442
2025,North Texas,American Athletic,netPassingYardsOpponent,2327
2025,North Texas,American Athletic,passAttempts,477
2025,North Texas,American Athletic,passAttemptsOpponent,387
2025,North Texas,American Athletic,passCompletions,325
2025,North Texas,American Athletic,passCompletionsOpponent,218
2025,North Texas,American Athletic,passesIntercepted,15
2025,North Texas,American Athletic,passesInterceptedOpponent,9
2025,North Texas,American Athletic,passingTDs,35
